college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"Govt.Dental College, Kottayam",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,16,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,17,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,19,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,27,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,49,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,64,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,74,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,PERIODONTOLOGY,STATE MERIT,76,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,PROSTHODONTICS AND CROWN & BRIDGE,MUSLIM,86,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,93,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,PROSTHODONTICS AND CROWN & BRIDGE,BACKWARD HINDU,98,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,PERIODONTOLOGY,STATE MERIT,114,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,PERIODONTOLOGY,MUSLIM,119,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,ORAL AND MAXILLOFACIAL SURGERY,EZHAVA,127,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,PERIODONTOLOGY,BACKWARD HINDU,236,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,243,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,273,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,ORAL MEDICINE AND RADIOLOGY,EZHAVA,312,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,ORAL PATHOLOGY AND MICROBIOLOGY,STATE MERIT,321,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,ORAL PATHOLOGY AND MICROBIOLOGY,STATE MERIT,338,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kottayam",,PUBLIC HEALTH DENTISTRY,STATE MERIT,350,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"KMCT Dental College, Kozhikode.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,384,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"MES Dental College, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,389,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Govt.Dental College, Thiruvananthapuram",,CONSERVATIVE DENTISTRY AND ENDODONTICS,LATIN CATHOLIC,391,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Govt.Dental College, Kozhikode",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,GENERAL-EWS,461,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"KMCT Dental College, Kozhikode.",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,490,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,532,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,535,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,538,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Govt.Dental College, Kottayam",,CONSERVATIVE DENTISTRY AND ENDODONTICS,GENERAL-EWS,563,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"KMCT Dental College, Kozhikode.",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,583,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,BACKWARD HINDU,596,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Govt.Dental College, Kottayam",,ORAL PATHOLOGY AND MICROBIOLOGY,GENERAL-EWS,605,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Royal Dental College , Palakkad.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,615,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,PUBLIC HEALTH DENTISTRY,STATE MERIT,640,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Mar Baselios Dental College, Ernakulam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,EZHAVA,644,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Pushpagiri college of Dental science, Thiruvalla",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,714,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,717,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"St. Geregorios Dental College, Ernakulam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,751,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,760,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Educare Institute of Dental Sciences, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,924,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PSM College of Dental Science& Research, Trichur.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,926,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sri. Sankara Dental College, Varkala",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,948,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sree Anjaneya Institute of Dental Sciences, Kozhikode",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,EZHAVA,951,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,987,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Govt.Dental College, Thiruvananthapuram",,ORAL AND MAXILLOFACIAL SURGERY,BACKWARD CHRISTIAN,1105,2025,Kerala CEE,MDS,Round 1,Kerala,Government,State Quota
"Mar Baselios Dental College, Ernakulam.",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,1128,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Pushpagiri college of Dental science, Thiruvalla",,ORAL AND MAXILLOFACIAL SURGERY,STATE MERIT,1164,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Pushpagiri college of Dental science, Thiruvalla",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,1215,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PSM College of Dental Science& Research, Trichur.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,1232,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"St. Geregorios Dental College, Ernakulam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,MUSLIM,1233,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,STATE MERIT,1282,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,MM,1337,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
