college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"Govt.Dental College, Thiruvananthapuram",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,STATE MERIT,334,2025,Kerala CEE,MDS,Stray Round,Kerala,Government,State Quota
"Govt.Dental College, Thiruvananthapuram",,PERIODONTOLOGY,STATE MERIT,459,2025,Kerala CEE,MDS,Stray Round,Kerala,Government,State Quota
"Malabar Dental College, Malappuram.",,ORAL PATHOLOGY AND MICROBIOLOGY,STATE MERIT,2293,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,PERIODONTOLOGY,STATE MERIT,11776,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Kannur Dental College,Kannur",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,11934,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Pushpagiri college of Dental science, Thiruvalla",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,12279,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Kannur Dental College,Kannur",,PEDIATRIC AND PREVENTIVE DENTISTRY,STATE MERIT,13928,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,PERIODONTOLOGY,STATE MERIT,15469,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Sri. Sankara Dental College, Varkala",,PROSTHODONTICS AND CROWN & BRIDGE,STATE MERIT,16329,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,PERIODONTOLOGY,STATE MERIT,16467,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,PERIODONTOLOGY,STATE MERIT,16814,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Kannur Dental College,Kannur",,PERIODONTOLOGY,STATE MERIT,16881,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,PERIODONTOLOGY,STATE MERIT,16950,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Al-Azhar Dental College, Thodupuzha",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,17183,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Pushpagiri college of Dental science, Thiruvalla",,PERIODONTOLOGY,STATE MERIT,17430,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Mar Baselios Dental College, Ernakulam.",,PERIODONTOLOGY,STATE MERIT,17519,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,PERIODONTOLOGY,STATE MERIT,17663,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Azeezia College of Dental Science and Research,Kollam.",,PERIODONTOLOGY,STATE MERIT,18164,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,PERIODONTOLOGY,STATE MERIT,18322,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,PERIODONTOLOGY,STATE MERIT,19065,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,PERIODONTOLOGY,STATE MERIT,19106,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,19529,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,PERIODONTOLOGY,STATE MERIT,19715,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
"Al-Azhar Dental College, Thodupuzha",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,21527,2025,Kerala CEE,MDS,Stray Round,Kerala,Private,State Quota
